tř. Ludvíka Kalmy a Volkharda Köhlera
Hněvkovice na pravém břehu Vlt.
náměstí Krále Jiřího z Poděbrad
U sv. Petra a Pavla
nám. Jana Žižky z Trocnova
nám. Krále Jiřího z Poděbrad
Náves sv. Petra a Pavla
náměstí Jana IV. z Dražic
náměstí Sv. Petra a Pavla
park Maxe van der Stoela
Jiřiny Haukové a Jindřicha Chalupeckého
Městský park - Horní park
Městský park - Střední park
Městský park - Dolní park
Park Jiřiny a Milana Uherkových
Bartoňův most u Liščí boudy
park Alice a Anny Masarykových
nám. T. G. Masaryka
nám. Otty z Losu
náměstí T. G. Masaryka
náměstí T. G. Masaryka
J. Berky z Dubé
Jana Roháče z Dubé
nám. T. G. Masaryka
Tř. T. G. Masaryka
nám. Jiřího z Poděbrad
nám. Přemysla Otakara II.
náměstí J. V. Kamarýta
náměstí T. G. Masaryka
náměstí J. A. Komenského
tř. T. G. Masaryka
Nám. T. G. Masaryka
nám. T. G. Masaryka
Nám. T. G. Masaryka
náměstí T. G. Masaryka
náměstí Trčků z Lípy
náměstí Jana Pavla II.
náměstí E. F. Buriana
Dr. F. L. Riegra
náměstí Dr. Milady Horákové
náměstí T. G. Masaryka
nám. Dr. E. Beneše
nám. Dr. Eduarda Beneše
náměstí T. G. Masaryka
náměstí Plk. Josefa Koukala
nám. Prof. Č. Strouhala
náměstí T. G. Masaryka
náměstí Jiřího z Poděbrad
Náměstí K. V. Raise
náměstí K. J. Erbena
náměstí Zachariáše z Hradce
nám. T. G. Masaryka
Sídliště T. G. Masaryka
nám. Sv. J. Nepomuckého
Náměstí T. G. Masaryka
náměstí Dr. M. Horákové
Stezka Jeana De Carro
náměstí Jiřího z Poděbrad
nám. T. G. Masaryka
tř. Dr. E. Beneše
náměstí Dr. Martina Luthera
nám. T. G. Masaryka
Náměstí J. Š. Baara
Jana Roháče z Dubé
nám. T. G. Masaryka
nám. T. G. Masaryka
nám. Dr. E. Beneše
nám. T. G. Masaryka
nám. Arnošta z Pardubic
nám. Dr. E. Beneše
nám. F. X. Richtra
Jana Roháče z Dubé
nám. Voskovce a Wericha
náměstí MUDr. J. Svobody
nám. T. G. Masaryka
nám. T. G. Masaryka
nám. Dr. E. Beneše
Náměstí Jana z Dražic
třída T. G. Masaryka
Jana Roháče z Dubé
Na Staré mlýnské cestě
tř. Osvoboz. polit. vězňů
nám. T. G. Masaryka
Jana Roháče z Dubé
třída T. G. Masaryka
nám. Velké mostecké stávky
náměstí T. G. Masaryka
třída T. G. Masaryka
Arm. gen. L. Svobody
Letců R. A. F.
nám. T. G. Masaryka
náměstí P. Arnošta Jureczky
Františka a Anny Ryšových
nábřeží Svazu protifašistických bojovníků
náměstí Jiřího z Poděbrad
náměstí Slovenského národního povstání
náměstí Dr. E. Beneše
1. československého armádního sboru
sad Dr. Milady Horákové
náměstí T. G. Masaryka
náměstí T. G. Masaryka
Svazu bojovníků za svobodu
nám. T. G. Masaryka
Prim. Mudr. J. Pujmana
Za Stanicí Písek město
Náměstí T. G. M.
náměstí T. G. Masaryka
U Výzkumného ústavu keram.
Dr. J. B. Foerstera
Náměstí M. J. Husa
náměstí F. X. Svobody
